col,x,amplitude,phase
2077, 80.676, 2925.930, 43.722
2078, 80.669, 2925.835, 43.722
2079, 80.531, 2923.824, 43.724
2080, 80.230, 2919.435, 43.727
2081, 79.953, 2915.388, 43.730
2082, 79.680, 2911.394, 43.733
2083, 79.523, 2909.098, 43.735
2084, 79.473, 2908.376, 43.735
2085, 79.207, 2904.479, 43.739
2086, 79.133, 2903.387, 43.740
2087, 79.160, 2903.795, 43.739
2088, 79.181, 2904.101, 43.739
2089, 79.380, 2907.008, 43.737
2090, 79.379, 2907.002, 43.737
2091, 79.351, 2906.589, 43.737
2092, 79.400, 2907.300, 43.736
2093, 79.411, 2907.464, 43.736
2094, 79.514, 2908.978, 43.735
2095, 79.555, 2909.574, 43.734
2096, 79.499, 2908.750, 43.735
2097, 79.409, 2907.431, 43.736
2098, 79.338, 2906.399, 43.737
2099, 79.288, 2905.660, 43.738
2100, 79.156, 2903.736, 43.739
2101, 79.091, 2902.774, 43.740
2102, 79.170, 2903.932, 43.739
2103, 79.150, 2903.649, 43.740
2104, 79.089, 2902.744, 43.740
2105, 79.146, 2903.590, 43.740
2106, 79.069, 2902.456, 43.741
2107, 78.937, 2900.518, 43.742
2108, 78.963, 2900.904, 43.742
2109, 78.879, 2899.661, 43.743
2110, 78.758, 2897.894, 43.745
2111, 78.750, 2897.773, 43.745
2112, 78.623, 2895.909, 43.747
2113, 78.531, 2894.555, 43.748
2114, 78.478, 2893.786, 43.749
2115, 78.337, 2891.701, 43.751
2116, 78.204, 2889.743, 43.753
2117, 78.095, 2888.145, 43.754
2118, 77.920, 2885.572, 43.757
2119, 77.864, 2884.745, 43.758
2120, 77.926, 2885.651, 43.757
2121, 77.813, 2883.993, 43.759
2122, 77.736, 2882.850, 43.760
2123, 77.633, 2881.331, 43.762
2124, 77.712, 2882.501, 43.761
2125, 77.894, 2885.182, 43.758
2126, 77.873, 2884.868, 43.758
2127, 77.915, 2885.494, 43.757
2128, 77.703, 2882.368, 43.761
2129, 77.564, 2880.317, 43.763
2130, 77.537, 2879.924, 43.763
2131, 77.327, 2876.817, 43.767
2132, 77.243, 2875.578, 43.768
2133, 77.096, 2873.393, 43.771
2134, 76.959, 2871.378, 43.773
2135, 76.780, 2868.717, 43.777
2136, 76.628, 2866.475, 43.779
2137, 76.619, 2866.344, 43.780
2138, 76.565, 2865.541, 43.781
2139, 76.603, 2866.106, 43.780
2140, 76.643, 2866.688, 43.779
2141, 76.709, 2867.672, 43.778
2142, 76.795, 2868.951, 43.776
2143, 76.827, 2869.422, 43.776
2144, 76.879, 2870.195, 43.775
2145, 76.939, 2871.080, 43.774
2146, 77.027, 2872.379, 43.772
2147, 77.107, 2873.559, 43.771
2148, 77.175, 2874.571, 43.770
2149, 77.261, 2875.848, 43.768
2150, 77.414, 2878.106, 43.765
2151, 77.536, 2879.910, 43.763
2152, 77.632, 2881.314, 43.762
2153, 77.736, 2882.859, 43.760
2154, 77.834, 2884.293, 43.759
2155, 78.055, 2887.553, 43.755
2156, 78.296, 2891.105, 43.751
2157, 78.611, 2895.736, 43.747
2158, 78.999, 2901.424, 43.742
2159, 79.356, 2906.661, 43.737
2160, 79.763, 2912.610, 43.732
2161, 80.113, 2917.731, 43.728
2162, 80.444, 2922.558, 43.724
2163, 80.683, 2926.036, 43.722
2164, 80.892, 2929.082, 43.720
2165, 81.213, 2933.745, 43.717
2166, 81.381, 2936.187, 43.716
2167, 81.458, 2937.311, 43.715
2168, 81.551, 2938.655, 43.714
2169, 81.567, 2938.885, 43.714
2170, 81.537, 2938.456, 43.714
2171, 81.568, 2938.898, 43.714
2172, 81.619, 2939.648, 43.714
2173, 81.549, 2938.626, 43.714
2174, 81.547, 2938.597, 43.714
2175, 81.504, 2937.982, 43.715
2176, 81.314, 2935.218, 43.716
2177, 81.257, 2934.382, 43.717
2178, 81.203, 2933.607, 43.717
2179, 81.108, 2932.222, 43.718
2180, 81.065, 2931.598, 43.718
2181, 80.975, 2930.284, 43.719
2182, 80.897, 2929.161, 43.720
2183, 80.885, 2928.982, 43.720
2184, 80.784, 2927.515, 43.721
2185, 80.658, 2925.676, 43.722
2186, 80.519, 2923.652, 43.724
2187, 80.293, 2920.358, 43.726
2188, 80.156, 2918.357, 43.728
2189, 79.931, 2915.075, 43.730
2190, 79.659, 2911.092, 43.733
2191, 79.562, 2909.676, 43.734
2192, 79.246, 2905.047, 43.738
2193, 78.937, 2900.522, 43.742
2194, 78.795, 2898.437, 43.744
2195, 78.505, 2894.177, 43.748
2196, 78.412, 2892.807, 43.750
2197, 78.294, 2891.073, 43.751
2198, 78.006, 2886.835, 43.756
2199, 77.803, 2883.848, 43.759
2200, 77.594, 2880.761, 43.762
2201, 77.482, 2879.101, 43.764
2202, 77.492, 2879.247, 43.764
2203, 77.541, 2879.974, 43.763
2204, 77.451, 2878.650, 43.765
2205, 77.350, 2877.149, 43.767
2206, 77.361, 2877.314, 43.766
2207, 77.307, 2876.518, 43.767
2208, 77.395, 2877.819, 43.766
2209, 77.432, 2878.366, 43.765
2210, 77.271, 2875.983, 43.768
2211, 77.397, 2877.853, 43.766
2212, 77.508, 2879.485, 43.764
2213, 77.512, 2879.550, 43.764
2214, 77.643, 2881.479, 43.762
2215, 77.596, 2880.793, 43.762
2216, 77.519, 2879.654, 43.764
2217, 77.422, 2878.225, 43.765
2218, 77.391, 2877.763, 43.766
2219, 77.369, 2877.439, 43.766
2220, 77.189, 2874.783, 43.769
2221, 77.195, 2874.865, 43.769
2222, 77.135, 2873.977, 43.770
2223, 76.993, 2871.877, 43.773
2224, 76.946, 2871.175, 43.774
2225, 76.890, 2870.355, 43.775
2226, 76.907, 2870.601, 43.774
2227, 76.868, 2870.026, 43.775
2228, 76.882, 2870.236, 43.775
2229, 76.940, 2871.099, 43.774
2230, 76.905, 2870.569, 43.774
2231, 76.838, 2869.588, 43.776
2232, 76.766, 2868.509, 43.777
2233, 76.786, 2868.812, 43.776
2234, 76.752, 2868.311, 43.777
2235, 76.743, 2868.174, 43.777
2236, 76.782, 2868.750, 43.777
2237, 76.741, 2868.146, 43.777
2238, 76.794, 2868.934, 43.776
2239, 76.855, 2869.831, 43.775
2240, 76.947, 2871.199, 43.774
2241, 77.097, 2873.423, 43.771
2242, 77.170, 2874.494, 43.770
2243, 77.174, 2874.554, 43.770
2244, 77.267, 2875.927, 43.768
2245, 77.402, 2877.919, 43.766
2246, 77.421, 2878.207, 43.765
2247, 77.567, 2880.355, 43.763
2248, 77.704, 2882.379, 43.761
2249, 77.722, 2882.651, 43.760
2250, 77.748, 2883.027, 43.760
2251, 77.694, 2882.237, 43.761
2252, 77.705, 2882.392, 43.761
2253, 77.661, 2881.743, 43.761
2254, 77.570, 2880.397, 43.763
2255, 77.653, 2881.631, 43.761
2256, 77.636, 2881.379, 43.762
2257, 77.555, 2880.184, 43.763
2258, 77.614, 2881.056, 43.762
2259, 77.600, 2880.844, 43.762
2260, 77.572, 2880.430, 43.763
2261, 77.503, 2879.409, 43.764
2262, 77.274, 2876.035, 43.768
2263, 77.229, 2875.372, 43.769
2264, 77.265, 2875.897, 43.768
2265, 77.222, 2875.268, 43.769
2266, 77.256, 2875.772, 43.768
2267, 77.212, 2875.120, 43.769
2268, 77.251, 2875.690, 43.768
2269, 77.344, 2877.071, 43.767
2270, 77.361, 2877.321, 43.766
2271, 77.414, 2878.098, 43.765
2272, 77.383, 2877.647, 43.766
2273, 77.399, 2877.874, 43.766
2274, 77.464, 2878.839, 43.765
2275, 77.522, 2879.690, 43.764
2276, 77.475, 2879.001, 43.764
2277, 77.365, 2877.385, 43.766
2278, 77.488, 2879.191, 43.764
2279, 77.642, 2881.467, 43.762
2280, 77.716, 2882.557, 43.760
2281, 77.775, 2883.433, 43.759
2282, 77.735, 2882.837, 43.760
2283, 77.686, 2882.122, 43.761
